Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,State
1764868954.9015174,0,-2,-2,-1,-3,-3,0,1,REST
1764868954.917831,1,0,0,-3,2,-1,-1,-1,REST
1764868954.9314182,1,1,-1,-1,-2,-2,-3,0,REST
1764868954.9403856,-1,0,-2,0,0,0,1,1,REST
1764868954.9545639,-1,-2,3,1,-2,-2,-1,-1,REST
1764868954.9614024,1,-3,-3,-4,1,-1,1,-1,REST
1764868954.978199,-1,-4,-3,-1,-3,1,-2,-1,REST
1764868955.00041,-4,-2,0,0,-5,-3,0,0,REST
1764868955.0146022,0,0,-4,-4,-2,-1,-3,-4,REST
1764868955.029045,0,-1,2,1,1,0,0,-1,REST
1764868955.037725,0,-1,-3,1,-1,-2,-1,0,REST
1764868955.0603735,0,-1,-3,-3,-2,1,-2,-1,REST
1764868955.0745716,0,0,2,-1,1,-1,0,-1,REST
1764868955.081372,-2,-3,-1,-1,-2,-1,0,-2,REST
1764868955.0977228,0,-1,0,0,2,-1,-1,-1,REST
1764868955.1118817,0,-4,-3,-1,0,-2,-1,0,REST
1764868955.120378,-3,-2,1,-2,-4,-1,-1,0,REST
1764868955.1428692,-3,0,5,-2,-3,-4,1,-1,REST
1764868955.1577332,-3,-3,-2,1,1,-1,0,1,REST
1764868955.1714463,2,0,-1,-1,0,0,-2,-2,REST
1764868955.180419,0,-3,-3,-2,-1,-1,0,-3,REST
1764868955.195057,1,0,1,-2,0,0,-3,-1,REST
1764868955.201408,-1,-2,-3,-1,0,-3,-2,0,REST
1764868955.2252564,-1,1,2,-1,-1,1,2,-1,REST
1764868955.2313766,-2,-2,-6,0,-2,0,-2,-1,REST
1764868955.2403295,0,-3,1,0,-3,-1,1,-1,REST
1764868955.2547417,-1,-1,-3,-1,-1,-2,-1,-1,REST
1764868955.2613218,3,0,1,-1,0,0,-2,-3,REST
1764868955.2775588,-2,-3,0,1,-1,0,-1,2,REST
1764868955.2839334,-4,0,3,-2,-4,-1,-1,0,REST
1764868955.291389,-3,-2,-4,-3,-2,-5,-1,-2,REST
1764868955.315268,2,-1,-2,-3,0,-1,-1,0,REST
1764868955.321393,-2,-1,-1,2,-3,0,-2,0,REST
1764868955.345288,1,-2,-1,1,1,-1,0,-1,REST
1764868955.3513112,-1,0,1,-1,0,1,-1,-2,REST
1764868955.3603911,-3,-1,-2,-1,1,-2,-3,-2,REST
1764868955.3745596,-1,-1,0,-1,-1,0,1,3,REST
1764868955.3814106,1,-2,-3,-2,0,-1,0,-1,REST
1764868955.3971276,-2,-3,-7,-3,-3,-2,0,-1,REST
1764868955.412007,-2,-4,3,-2,0,1,-1,0,REST
1764868955.4203415,0,1,3,3,0,0,0,-1,REST
1764868955.4345808,-1,-1,-3,-2,-2,-1,-2,0,REST
1764868955.4489677,-3,1,-4,-2,0,-2,-1,0,REST
1764868955.457083,-1,-1,1,-2,-5,-1,-1,-1,REST
1764868955.463863,-1,-1,-2,0,-4,-3,-1,-1,REST
1764868955.480396,0,0,-1,1,0,-1,0,0,REST
1764868955.4947393,-1,2,2,-2,-1,0,0,-2,REST
1764868955.5015233,0,-2,-4,-1,0,-2,-2,1,REST
1764868955.5330765,-1,-2,1,0,-1,0,-1,-2,REST
1764868955.5403395,-2,-2,-1,-2,-1,-2,-1,-1,REST
1764868955.5545723,2,0,1,2,-4,2,1,0,REST
1764868955.561436,0,0,-1,-2,0,-1,-2,-1,REST
1764868955.5770693,-2,-2,2,-2,-4,-2,-4,-2,REST
1764868955.5839097,-2,-1,-3,0,-1,1,2,-1,REST
1764868955.6002882,-1,-2,-3,-2,0,-3,2,-1,REST
1764868955.6146169,0,-2,-5,-1,-3,-2,-1,-1,REST
1764868955.6214008,0,0,1,-3,-1,-1,-2,0,REST
1764868955.6371145,0,-1,-2,-2,0,-2,0,0,POWER
1764868955.643879,-1,-1,-2,1,0,-1,0,-1,POWER
1764868955.6602986,-1,-1,-2,0,-1,-2,0,1,POWER
1764868955.6747177,0,0,-2,0,-1,-1,1,1,POWER
1764868955.6814194,-3,-4,-5,-5,-2,-3,-2,-2,POWER
1764868955.6970575,0,-2,0,-1,0,0,-1,0,POWER
1764868955.7038777,1,-2,1,0,-2,-1,1,2,POWER
1764868955.7202492,-2,-1,-2,-2,2,-1,-3,-2,POWER
1764868955.7339916,-1,1,2,0,-1,-1,-3,-3,POWER
1764868955.7428992,-3,0,-3,-4,-1,-2,0,-1,POWER
1764868955.7572925,-2,-2,2,1,0,1,-1,-2,POWER
1764868955.7640343,-2,-2,-4,-1,1,-4,-2,-4,POWER
1764868955.7805452,-1,1,-1,-1,-1,0,-2,0,POWER
1764868955.7945313,-4,-2,-3,-1,2,0,-2,0,POWER
1764868955.801646,1,1,-2,-1,1,-1,-2,0,POWER
1764868955.8170831,0,-2,-5,-3,-1,-3,-1,0,POWER
